### SNIa toy model generated with mk_snia_toy_model.py version 2018-06-22
#
## Adopted constants:
#
# MSUN = 1.98900000e+33 g
# 56Ni half-life THALF_56NI = 6.07500000e+00 day
# 56Co half-life THALF_56CO = 7.72360000e+01 day
# Energy per 56Ni decay EDECAY_56NI = 1.72060000e+00 MeV
# Energy per 56Co decay EDECAY_56CO = 3.60720000e+00 MeV
#
## Ejecta parameters (actual vs. requested):
#
# Mtot = 9.9990e-01 Msun (1.0000e+00 requested)
# Ekin = 9.9811e+50 erg (1.0000e+51 requested)
# nzones =  807 ; cell size dvel = 5.0000e+01 km/s ; Vmax = 4.0325e+04 km/s
# density profile = expon
# time at which radius, temperature and abundances are calculated, tend = 2.00 DAYS
# M(stable IGE) = 0.0000e+00 Msun (0.0000e+00 requested) with relative (Ni, Fe) fractions = 0.10, 0.90
# M(56Ni,t=0) = 9.9950e-02 Msun (1.0000e-01 requested)
# M(IME) = 8.9995e-01 Msun (9.0000e-01 requested); IMEs = Ca, S, Si with relative fractions = 0.1, 0.35, 0.55
# M(unburnt C/O) = 0.0000e+00 Msun with relative (O, C) fractions = 0.50, 0.50
# dM(IGE,56Ni,IME) = 0.00, 0.20, 0.00 Msun; transition profile = cosine
# ni56 weighted, average column density=7.15e+14 g cm^-2 s^2; t0_gamma=48.93 day

#
# COLUMNS:
#
# (1) zone index
# (2) velocity at zone center [km/s]
# (3) zone mass [Msun]
# (4) Lagrangian mass coordinate (corresponding to outer zone boundary) [Msun]
# (5) IGE mass fraction at t=0
# (6) 56Ni mass fraction at t=0
# (7) IME mass fraction
# (8) Ti mass fraction
# (9) unburnt CO mass fraction
# (10) radius at zone center [cm] = velocity * time_since_explosion (homologous expansion)
# (11) mean density over zone [g/cm^3] (*not* density at zone center)
# (12) temperature [K]
# (13)-(21) mass fractions
#
# NOTES ON MASS FRACTIONS: (14) X_Ni includes X_56Ni; (15) X_Co = X_56Co; (16) X_Fe includes 56Fe from 56Co decay
#
#idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
  47 2.3250e+03 2.4954e-03 4.9137e-02 0.0000e+00 8.6478e-01 1.3522e-01 0.0000e+00 0.0000e+00 4.0176e+13 2.8321e-10 9.9186e+04 6.8834e-01 6.8834e-01 1.7481e-01 1.6337e-03 1.3522e-02 4.7325e-02 7.4368e-02 0.0000e+00 0.0000e+00
  48 2.3750e+03 2.5593e-03 5.1697e-02 0.0000e+00 8.5093e-01 1.4907e-01 0.0000e+00 0.0000e+00 4.1040e+13 2.7836e-10 9.8361e+04 6.7731e-01 6.7731e-01 1.7201e-01 1.6075e-03 1.4907e-02 5.2175e-02 8.1989e-02 0.0000e+00 0.0000e+00
  49 2.4250e+03 2.6225e-03 5.4319e-02 0.0000e+00 8.3614e-01 1.6386e-01 0.0000e+00 0.0000e+00 4.1904e+13 2.7359e-10 9.7509e+04 6.6554e-01 6.6554e-01 1.6902e-01 1.5796e-03 1.6386e-02 5.7350e-02 9.0121e-02 0.0000e+00 0.0000e+00
  50 2.4750e+03 2.6850e-03 5.7004e-02 0.0000e+00 8.2043e-01 1.7957e-01 0.0000e+00 0.0000e+00 4.2768e+13 2.6891e-10 9.6630e+04 6.5304e-01 6.5304e-01 1.6584e-01 1.5499e-03 1.7957e-02 6.2849e-02 9.8763e-02 0.0000e+00 0.0000e+00
  51 2.5250e+03 2.7467e-03 5.9751e-02 0.0000e+00 8.0377e-01 1.9623e-01 0.0000e+00 0.0000e+00 4.3632e+13 2.6430e-10 9.5721e+04 6.3977e-01 6.3977e-01 1.6248e-01 1.5184e-03 1.9623e-02 6.8682e-02 1.0793e-01 0.0000e+00 0.0000e+00
  52 2.5750e+03 2.8076e-03 6.2559e-02 0.0000e+00 7.8616e-01 2.1384e-01 0.0000e+00 0.0000e+00 4.4496e+13 2.5977e-10 9.4782e+04 6.2576e-01 6.2576e-01 1.5892e-01 1.4852e-03 2.1384e-02 7.4843e-02 1.1761e-01 0.0000e+00 0.0000e+00
  53 2.6250e+03 2.8678e-03 6.5426e-02 0.0000e+00 7.6761e-01 2.3239e-01 0.0000e+00 0.0000e+00 4.5360e+13 2.5533e-10 9.3812e+04 6.1099e-01 6.1099e-01 1.5517e-01 1.4501e-03 2.3239e-02 8.1337e-02 1.2781e-01 0.0000e+00 0.0000e+00
  54 2.6750e+03 2.9271e-03 6.8353e-02 0.0000e+00 7.4812e-01 2.5188e-01 0.0000e+00 0.0000e+00 4.6224e+13 2.5095e-10 9.2809e+04 5.9548e-01 5.9548e-01 1.5123e-01 1.4133e-03 2.5188e-02 8.8159e-02 1.3854e-01 0.0000e+00 0.0000e+00
  55 2.7250e+03 2.9855e-03 7.1339e-02 0.0000e+00 7.2770e-01 2.7230e-01 0.0000e+00 0.0000e+00 4.7088e+13 2.4666e-10 9.1772e+04 5.7923e-01 5.7923e-01 1.4710e-01 1.3747e-03 2.7230e-02 9.5305e-02 1.4976e-01 0.0000e+00 0.0000e+00
  56 2.7750e+03 3.0430e-03 7.4382e-02 0.0000e+00 7.0638e-01 2.9362e-01 0.0000e+00 0.0000e+00 4.7952e+13 2.4243e-10 9.0700e+04 5.6226e-01 5.6226e-01 1.4279e-01 1.3344e-03 2.9362e-02 1.0277e-01 1.6149e-01 0.0000e+00 0.0000e+00
